postal_code,municipality_code,NUTS3
8055,60101,AT221
1200,90001,AT130
1020,90001,AT130
1180,90001,AT130
4400,40201,AT314
1100,90001,AT130
2700,30401,AT122
5020,50101,AT323
1120,90001,AT130
9500,20201,AT211
6923,80224,AT342
1220,90001,AT130
1110,90001,AT130
4020,40101,AT312
4030,40101,AT312
1210,90001,AT130
2444,30633,AT127
9800,20635,AT212
1060,90001,AT130
4053,41002,AT312
6020,70101,AT332
2301,30821,AT126
2500,30604,AT127
1070,90001,AT130
1160,90001,AT130
8010,60101,AT221
8181,61765,AT224
6430,70202,AT334
8074,60667,AT221
5350,50336,AT323
1140,90001,AT130
8685,62131,AT223
2231,30856,AT126
7452,10803,AT111
5700,50628,AT322
8020,60101,AT221
8102,60645,AT221
8605,62140,AT223
2011,31226,AT126
5101,50303,AT323
7550,10419,AT113
1030,90001,AT130
8794,61118,AT223
5400,50205,AT323
4614,41812,AT312
9400,20923,AT213
1170,90001,AT130
1090,90001,AT130
6700,80103,AT341
1190,90001,AT130
5632,50405,AT322
3341,30543,AT121
3264,32004,AT121
3001,31950,AT126
4632,41816,AT312
5111,50305,AT323
1230,90001,AT130
9560,21002,AT212
9564,21007,AT212
1040,90001,AT130
3464,31208,AT126
3004,32131,AT126
6719,80104,AT341
1130,90001,AT130
5071,50338,AT323
1050,90001,AT130
6971,80215,AT342
2563,30627,AT122
6845,80302,AT342
2361,31715,AT127
2482,31718,AT127
6162,70331,AT332
4813,40701,AT315
8041,60101,AT221
6112,70367,AT332
3474,32114,AT126
4600,40301,AT312
9020,20101,AT211
8720,62041,AT226
6850,80301,AT342
4060,41012,AT312
6793,80110,AT341
6632,70807,AT331
4040,40101,AT312
6370,70411,AT335
5161,50308,AT323
5753,50618,AT322
2412,30728,AT127
5280,40404,AT311
2560,30605,AT122
9524,20201,AT211
6330,70513,AT335
4320,41116,AT313
4311,41124,AT313
4810,40705,AT315
1150,90001,AT130
5541,50401,AT322
9920,70728,AT333
8152,61611,AT225
8753,62007,AT226
4372,41119,AT313
4861,41737,AT315
6837,80423,AT342
5431,50207,AT323
4261,40615,AT313
6346,70519,AT335
6622,70802,AT331
6170,70369,AT332
6450,70220,AT334
2454,30726,AT127
6841,80412,AT342
4864,41702,AT315
2284,30858,AT126
8054,60101,AT221
8700,61108,AT223
8591,61632,AT225
4400,41514,AT314
4113,41332,AT313
3500,30101,AT124
3943,30935,AT124
4712,40815,AT311
5023,50101,AT323
2492,32305,AT122
8430,61053,AT225
8047,60101,AT221
5151,50325,AT323
1080,90001,AT130
8053,60101,AT221
3100,30201,AT123
7503,10905,AT113
7400,10917,AT113
4252,40611,AT313
7411,10912,AT113
3400,32144,AT126
2421,10711,AT112
6900,80207,AT342
3131,31913,AT123
3170,31403,AT122
4753,41231,AT311
6391,70403,AT335
5440,50204,AT323
4481,41003,AT312
4210,41607,AT312
2514,30639,AT127
4470,41005,AT312
3423,32142,AT126
2201,31235,AT126
6345,70412,AT335
6353,70404,AT335
6176,70364,AT332
6830,80414,AT342
8790,61101,AT223
6580,70621,AT334
6121,70305,AT332
2340,31717,AT127
8101,60613,AT221
2320,30740,AT127
8051,60101,AT221
8190,61757,AT224
2432,30739,AT127
6233,70512,AT335
4690,41738,AT315
4800,41703,AT315
4616,41824,AT312
5110,50326,AT323
9112,20808,AT213
8650,62141,AT223
1010,90001,AT130
4391,41125,AT313
2304,30834,AT126
9131,20409,AT211
4484,41011,AT312
6334,70525,AT335
5582,50509,AT321
6300,70531,AT335
7432,10916,AT113
2441,30621,AT127
8493,62335,AT224
3710,31053,AT125
4061,41017,AT312
4563,40908,AT314
8052,60101,AT221
4650,41811,AT312
6456,70220,AT334
2241,30852,AT126
2263,30811,AT125
9100,20817,AT213
4600,41823,AT312
3354,30542,AT121
9581,20711,AT211
2052,31033,AT125
9431,20923,AT213
4240,40601,AT313
5202,50324,AT323
9181,20403,AT211
9184,20722,AT211
2424,10724,AT112
1300,30740,AT127
6600,70828,AT331
2225,30863,AT125
2443,10306,AT112
5660,50622,AT322
4910,41225,AT311
4652,41807,AT312
3580,31109,AT124
2051,31052,AT125
6752,80108,AT341
4880,41734,AT315
7000,10101,AT112
5640,50403,AT322
3970,30942,AT124
7540,10405,AT113
8230,62244,AT224
2630,31839,AT122
6281,70912,AT335
8600,62139,AT223
8044,60101,AT221
8043,60101,AT221
3133,31943,AT123
6382,70410,AT335
4209,41605,AT312
9375,20511,AT213
4644,40719,AT315
3451,32120,AT126
5230,40421,AT311
7082,10302,AT112
4532,41513,AT314
4050,41021,AT312
8680,62143,AT223
4782,41418,AT311
5760,50619,AT322
4142,41312,AT313
8983,61255,AT222
5671,50602,AT322
5662,50602,AT322
4063,41007,AT312
4451,41506,AT314
8073,60608,AT221
3264,32003,AT121
3250,32016,AT121
6531,70620,AT334
2435,30729,AT127
8264,62269,AT224
9374,20513,AT213
2401,30730,AT127
5580,50510,AT321
3484,32107,AT126
3660,31516,AT121
4273,40621,AT313
4371,41104,AT313
7536,10406,AT113
2540,30603,AT127
8200,61760,AT224
5131,40408,AT311
5270,40405,AT311
4817,40708,AT315
9900,70716,AT333
4540,41503,AT314
4702,40832,AT311
2851,32315,AT122
9150,20801,AT213
6553,70623,AT334
6293,70934,AT335
6534,70624,AT334
6532,70613,AT334
6561,70608,AT334
8077,60611,AT221
5261,40413,AT311
5500,50404,AT322
8693,62144,AT223
8634,62142,AT223
8280,62267,AT224
8051,60648,AT221
4111,41626,AT312
5082,50314,AT323
9061,20101,AT211
2620,31818,AT122
7372,10802,AT111
5026,50101,AT323
9990,70719,AT333
8330,62379,AT224
8750,62040,AT226
2103,31214,AT126
4642,41817,AT312
5425,50206,AT323
6890,80303,AT342
2351,31725,AT127
4144,41324,AT313
4362,41108,AT313
4694,40713,AT315
8530,60344,AT225
4655,40720,AT315
7361,10803,AT111
9073,20101,AT211
6675,70832,AT331
5322,50319,AT323
2100,31213,AT126
3650,31534,AT121
2410,30710,AT127
6863,80211,AT341
8580,61631,AT225
8230,62219,AT224
6833,80409,AT342
5144,40412,AT311
6250,70514,AT335
6421,70215,AT334
6380,70416,AT335
4754,41201,AT311
6322,70511,AT335
2143,31617,AT125
2731,31831,AT122
2345,31704,AT127
2136,31629,AT125
2752,32337,AT122
2100,31216,AT126
6100,70351,AT332
5603,50414,AT322
2601,32305,AT122
5120,40437,AT311
6365,70409,AT335
7301,10801,AT111
2753,32332,AT122
6080,70101,AT332
4801,40718,AT315
5301,50310,AT323
8401,60624,AT221
8775,61105,AT223
4052,41002,AT312
5141,40425,AT311
6884,80209,AT341
4783,41429,AT311
8042,60101,AT221
3150,31947,AT123
4755,41430,AT311
5630,50402,AT322
4975,41425,AT311
2564,30627,AT122
9413,20905,AT213
9344,20531,AT213
5310,41715,AT315
6654,70817,AT331
2632,31811,AT122
6460,70203,AT334
5730,50613,AT322
7221,10605,AT112
4651,41820,AT312
3426,32143,AT126
6222,70911,AT335
6130,70926,AT335
2000,31230,AT126
8904,61206,AT222
2380,31719,AT127
5121,40428,AT311
4542,40910,AT314
8570,61625,AT225
9863,20632,AT212
6800,80404,AT342
3051,31926,AT123
8410,61059,AT225
4522,41516,AT314
9615,20305,AT212
6290,70920,AT335
8421,61057,AT225
6410,70357,AT332
2165,31606,AT125
4710,40830,AT311
5524,50203,AT323
2325,30732,AT127
2070,31037,AT125
7100,10713,AT112
6911,80226,AT342
6314,70530,AT335
9210,20424,AT211
6393,70417,AT335
4541,41501,AT314
2483,30607,AT127
5600,50418,AT322
3300,30502,AT121
9212,20435,AT211
8124,60651,AT221
5163,50323,AT323
8121,60659,AT221
8562,61615,AT225
5321,50321,AT323
8243,62233,AT224
4201,41609,AT312
3172,31409,AT122
8343,62375,AT224
8932,61264,AT222
6432,70218,AT334
2402,30711,AT127
6572,70605,AT334
5542,50408,AT322
5733,50601,AT322
9570,21006,AT212
4501,41014,AT312
3252,31531,AT121
3261,32014,AT121
4863,41739,AT315
8740,62038,AT226
6416,70213,AT334
6323,70503,AT335
4822,40702,AT315
4300,30531,AT121
3495,31337,AT124
8712,61110,AT223
2721,32301,AT122
4701,40802,AT311
4625,41814,AT312
4551,40913,AT314
4802,40704,AT315
6426,70216,AT334
3932,32530,AT124
7013,10305,AT112
3762,32212,AT124
3753,31107,AT124
8793,61120,AT223
3512,31327,AT124
2353,31710,AT127
2372,31707,AT127
8490,62376,AT224
4784,41423,AT311
8223,62256,AT224
6652,70808,AT331
8600,62140,AT223
9530,20705,AT211
5142,40406,AT311
5761,50612,AT322
4840,41746,AT315
5251,40415,AT311
4780,41422,AT311
9523,20201,AT211
4843,41701,AT315
6280,70940,AT335
3435,32141,AT126
8480,62383,AT224
6491,70622,AT334
2331,31723,AT127
6465,70212,AT334
2640,31810,AT122
9065,20402,AT211
2524,30637,AT127
5550,50417,AT322
8940,61259,AT222
2326,30736,AT127
8742,62042,AT226
2460,10703,AT127
6780,80122,AT341
9241,20727,AT211
4890,41710,AT315
4664,40711,AT315
4925,41223,AT311
2651,31829,AT122
4322,41126,AT313
5143,40407,AT311
3013,31953,AT126
4643,40912,AT314
2491,10304,AT112
6401,70319,AT332
6210,70939,AT335
6754,80112,AT341
6471,70201,AT334
8072,60662,AT221
4860,41713,AT315
3385,31907,AT123
6832,80416,AT342
4323,41113,AT313
4312,41111,AT313
7011,10315,AT112
4170,41309,AT313
2512,30639,AT127
3823,32216,AT124
6844,80401,AT342
4100,41617,AT312
9330,20501,AT213
3143,31934,AT123
2840,31840,AT122
8075,60617,AT221
8071,60619,AT221
2460,30704,AT127
5081,50301,AT323
3463,31228,AT126
4284,40620,AT313
4203,41602,AT312
5751,50611,AT322
4221,41624,AT312
2474,10706,AT112
4963,40438,AT311
6295,70908,AT335
9220,20725,AT211
2230,30817,AT126
2371,31712,AT127
6751,80103,AT341
3370,31549,AT121
3380,31533,AT121
9300,20527,AT213
8384,10505,AT113
4592,40902,AT314
9722,20726,AT211
8111,60664,AT221
8112,60664,AT221
6063,70346,AT332
4690,41732,AT315
2183,30841,AT125
4407,41504,AT314
3335,41522,AT314
4441,30506,AT121
4682,40807,AT311
2486,30626,AT127
6273,70923,AT335
4070,40509,AT312
5562,50422,AT322
6213,70907,AT335
5231,40441,AT311
6708,80105,AT341
6811,80407,AT342
6521,70604,AT334
7064,10311,AT112
8962,61213,AT222
4981,41224,AT311
8953,61257,AT222
2571,30602,AT122
4293,40603,AT313
2393,31726,AT127
3107,30201,AT123
2464,30708,AT127
8630,62142,AT223
8402,60655,AT221
4680,40809,AT311
6481,70217,AT334
8350,62378,AT224
6060,70354,AT332
6065,70358,AT332
2753,32319,AT122
5223,40431,AT311
6116,70937,AT335
2490,32304,AT122
6974,80214,AT342
4072,40501,AT312
4048,41618,AT312
4650,41806,AT312
2425,10714,AT112
4713,40805,AT311
6200,70917,AT335
6262,70925,AT335
5411,50208,AT323
5222,40426,AT311
4040,41624,AT312
6791,80120,AT341
8063,60661,AT221
8321,61746,AT224
6533,70603,AT334
2522,30623,AT127
7210,10606,AT112
3362,30502,AT121
2344,31716,AT127
6840,80408,AT342
5710,50606,AT322
6522,70619,AT334
2182,30845,AT125
2170,31644,AT125
8401,60608,AT221
2602,30646,AT127
4812,40714,AT315
2283,30842,AT126
6364,70402,AT335
6464,70222,AT334
3002,31952,AT126
3012,31954,AT126
5621,50420,AT322
6444,70208,AT334
2122,31651,AT126
3122,31507,AT121
9073,20414,AT211
8054,60669,AT221
6922,80240,AT342
6710,80116,AT341
8301,60628,AT221
9170,20405,AT211
3441,32112,AT126
2542,30618,AT127
8045,60101,AT221
6870,80204,AT341
2603,32307,AT122
4973,41228,AT311
2751,32320,AT122
3433,32116,AT126
8160,61761,AT224
3541,31343,AT124
8505,61033,AT225
4552,40922,AT314
4550,40907,AT314
9772,20604,AT212
5122,40414,AT311
2880,31830,AT122
9821,20627,AT212
5771,50609,AT322
8552,60345,AT225
7331,10823,AT111
4310,41111,AT313
4901,41722,AT315
4770,41402,AT311
3140,30201,AT123
9546,20601,AT212
6167,70310,AT332
5742,50626,AT322
4672,41802,AT312
9711,20720,AT211
5340,50330,AT323
6395,70405,AT335
6344,70529,AT335
6241,70520,AT335
9071,20414,AT211
4842,41752,AT315
6143,70370,AT332
4663,40711,AT315
2020,31022,AT125
5273,40434,AT311
2232,30808,AT126
5452,50416,AT322
9552,21009,AT212
3950,30908,AT124
8755,62032,AT226
5360,40717,AT315
8062,60626,AT221
6712,80126,AT341
6824,80418,AT342
8461,61049,AT225
9580,20201,AT211
6541,70629,AT334
6252,70505,AT335
6764,80113,AT341
9074,20412,AT211
5092,50620,AT322
6820,80405,AT342
7551,10414,AT113
9542,20724,AT211
9871,20634,AT212
9602,20702,AT211
6511,70630,AT334
6943,80231,AT342
4101,41606,AT312
9623,20316,AT212
8403,61021,AT225
7572,10501,AT113
4202,41613,AT312
2880,31814,AT122
3031,31951,AT126
6655,70831,AT331
6655,70819,AT331
8911,61253,AT222
4710,40808,AT311
4553,40917,AT314
8862,61445,AT226
3340,30301,AT121
7423,10918,AT113
8141,60670,AT221
7163,10701,AT112
6774,80128,AT341
9314,20523,AT213
2433,30706,AT127
6361,70406,AT335
4303,30529,AT121
6543,70615,AT334
9361,20505,AT213
5282,40404,AT311
5221,40419,AT311
9535,20432,AT211
6111,70365,AT332
4073,41022,AT312
3071,31903,AT123
5661,50617,AT322
2650,31821,AT122
9111,20817,AT213
3672,31523,AT121
5412,50209,AT323
6215,70901,AT335
2384,31703,AT127
2285,30831,AT126
3375,31517,AT121
2413,30703,AT112
8291,62206,AT224
4814,40701,AT315
2404,30718,AT127
2265,30810,AT125
3644,31553,AT121
5061,50309,AT323
6167,70334,AT332
9554,21008,AT212
6671,70836,AT331
2292,30814,AT126
9972,70734,AT333
8572,61626,AT225
8541,60349,AT225
3382,31520,AT121
8786,61263,AT222
7023,10618,AT112
3454,32132,AT126
4400,41506,AT314
2511,30625,AT127
3105,30201,AT123
4122,41305,AT313
3683,31552,AT121
6991,80228,AT341
9613,20713,AT211
3452,32120,AT126
2680,31838,AT122
4482,30508,AT121
5133,40410,AT311
2462,30704,AT112
2391,31713,AT127
4212,40612,AT313
3125,31940,AT123
4656,40710,AT315
8472,61061,AT225
4662,40711,AT315
2102,31206,AT126
6600,70826,AT331
8784,61247,AT222
8934,61205,AT222
2261,30803,AT126
2442,30607,AT127
3730,31105,AT124
3721,31026,AT125
3742,31129,AT124
3722,31130,AT124
3712,31026,AT125
2074,31038,AT125
4363,41115,AT313
4641,41822,AT312
6212,70907,AT335
2073,31041,AT125
6074,70345,AT332
6993,80228,AT341
8990,61207,AT222
9081,20419,AT211
6914,80219,AT342
2523,30636,AT127
5224,40403,AT311
7350,10816,AT111
3511,31309,AT124
2245,30859,AT126
2280,30819,AT126
9542,20701,AT211
2552,30615,AT122
3332,30533,AT121
9815,20644,AT212
3910,32530,AT124
3920,32508,AT124
2193,31644,AT125
2362,31702,AT127
6335,70527,AT335
6371,70401,AT335
5562,50512,AT322
3130,31912,AT123
8431,61012,AT225
2544,30631,AT127
4922,41206,AT311
6260,70904,AT335
6372,70413,AT335
8463,61054,AT225
5522,50419,AT322
4211,41601,AT312
3452,32104,AT126
6771,80119,AT341
2534,30601,AT127
8143,60660,AT221
3525,32522,AT124
5531,50406,AT322
8563,61612,AT225
8113,60641,AT221
9142,20807,AT213
5505,50415,AT322
3040,31926,AT123
6352,70509,AT335
3242,31551,AT121
4873,41709,AT315
9161,20417,AT211
4070,40503,AT312
2565,30645,AT122
8047,60623,AT221
4483,41006,AT312
3390,31524,AT121
5121,40443,AT311
4381,41121,AT313
2440,30731,AT127
2733,31813,AT122
2114,31627,AT126
4852,41749,AT315
5303,50337,AT323
9421,20913,AT213
6373,70408,AT335
3160,31413,AT122
6414,70209,AT334
6492,70204,AT334
5201,50339,AT323
2305,30813,AT126
9433,20913,AT213
2130,31633,AT125
6574,70616,AT334
8614,62105,AT223
7442,10809,AT111
4690,41725,AT315
9201,20415,AT211
2134,31649,AT125
4850,41743,AT315
6867,80236,AT341
6500,70614,AT334
7202,10609,AT112
7201,10607,AT112
2732,31847,AT122
3386,31910,AT123
3312,30522,AT121
6134,70936,AT335
3542,31311,AT124
6563,70606,AT334
8623,62138,AT223
3333,30533,AT121
8820,61439,AT226
8993,61215,AT222
8903,61222,AT222
4844,41731,AT315
3251,32008,AT121
4163,41315,AT313
3321,30503,AT121
6324,70516,AT335
4222,41120,AT313
5083,50314,AT323
8046,60646,AT221
4824,40706,AT315
8311,61716,AT224
8200,61719,AT224
3314,30534,AT121
7431,10901,AT113
8362,62252,AT224
8361,62378,AT224
3874,30925,AT124
3931,32525,AT124
4931,41215,AT311
6161,70332,AT332
4202,41611,AT312
4224,40624,AT313
9064,20442,AT211
2291,30830,AT126
6714,80117,AT341
9907,70732,AT333
2111,31207,AT126
3021,31951,AT126
3902,32219,AT124
3591,31101,AT124
8682,62143,AT223
6866,80202,AT341
8970,61265,AT222
8163,61758,AT224
6236,70501,AT335
3032,31905,AT123
6306,70526,AT335
2601,32327,AT122
8435,61045,AT225
6370,70414,AT335
2191,31612,AT125
6706,80106,AT341
4490,41013,AT312
6092,70306,AT332
6832,80420,AT342
6363,70420,AT335
5112,50322,AT323
5145,40427,AT311
5424,50213,AT323
5511,50412,AT322
2214,30804,AT126
3385,31932,AT123
2751,30401,AT122
2451,30713,AT127
5023,50321,AT323
8761,62043,AT226
3430,32135,AT126
3300,30541,AT121
8455,61024,AT225
8794,61120,AT223
4730,40831,AT311
4902,41750,AT315
4845,41731,AT315
4331,41114,AT313
6263,70909,AT335
4085,41312,AT311
4831,40712,AT315
8152,61624,AT225
2171,31621,AT125
4974,41220,AT311
9182,20722,AT211
7443,10811,AT111
6425,70202,AT334
9971,70717,AT333
9521,20724,AT211
6604,70816,AT331
6473,70224,AT334
2640,31808,AT122
6773,80129,AT341
5311,41712,AT315
3372,31505,AT121
2242,30848,AT126
3420,32144,AT126
8160,61766,AT224
6108,70348,AT332
6235,70522,AT335
3042,32139,AT126
4801,40701,AT315
4671,41813,AT312
8524,60344,AT225
4081,40506,AT312
8302,60666,AT221
7111,10717,AT112
3508,31333,AT124
8900,61243,AT222
3361,30504,AT121
8444,61030,AT225
3921,32516,AT124
9853,20638,AT212
5754,50618,AT322
2493,32318,AT122
7122,10707,AT112
2243,30838,AT126
9321,20512,AT213
6673,70811,AT331
8967,61217,AT222
6091,70312,AT332
6600,70806,AT331
4612,40511,AT312
6404,70342,AT332
8292,62274,AT224
8046,60101,AT221
6336,70515,AT335
7435,10924,AT113
6068,70329,AT332
2551,30608,AT122
6842,80410,AT342
4982,41216,AT311
2093,31107,AT124
3561,31322,AT124
6973,80217,AT342
3388,31922,AT123
2870,31802,AT122
3342,30524,AT121
8212,61764,AT224
2014,31022,AT125
4653,41805,AT312
4870,41747,AT315
3171,31406,AT122
8521,60341,AT225
6166,70310,AT332
2224,30857,AT125
6265,70915,AT335
6731,80124,AT341
5330,50312,AT323
7461,10923,AT113
6934,80238,AT342
4722,40835,AT311
2452,30716,AT127
3743,31120,AT124
5602,50423,AT322
2213,31605,AT126
6812,80413,AT342
2751,32337,AT122
6284,70922,AT335
6067,70301,AT332
3180,31407,AT122
8181,61729,AT224
3473,31021,AT125
8280,62280,AT224
3345,32002,AT121
8661,62145,AT223
4690,41720,AT315
4894,41719,AT315
6600,70805,AT331
6651,70813,AT331
7501,10915,AT113
3851,32210,AT124
2700,32313,AT122
2133,31609,AT125
2392,31726,AT127
6142,70328,AT332
2405,30702,AT127
2441,30731,AT127
9781,20625,AT212
9135,20804,AT213
2472,30719,AT127
6413,70368,AT332
8262,62271,AT224
6173,70337,AT332
9631,20305,AT212
8200,61701,AT224
3353,30532,AT121
4710,40821,AT311
4090,41407,AT311
8864,61445,AT226
4132,41318,AT313
8635,62142,AT223
3972,30910,AT124
5162,50327,AT323
6633,70803,AT331
4591,40909,AT314
2275,31604,AT125
6165,70356,AT332
8151,60665,AT221
7361,10810,AT111
6858,80235,AT342
7083,10312,AT112
6767,80239,AT331
8200,61727,AT224
9861,20642,AT212
9862,20642,AT212
2521,30641,AT127
2304,30844,AT126
3365,30501,AT121
9919,70735,AT333
3434,32134,AT126
3424,32140,AT126
7152,10716,AT112
9551,21009,AT212
4882,41721,AT315
4972,41233,AT311
4184,41345,AT313
9710,20720,AT211
4580,40923,AT314
4715,40829,AT311
8950,61267,AT222
9853,20608,AT212
8952,61257,AT222
6071,70302,AT332
6083,70307,AT332
7202,10615,AT112
2823,31823,AT122
4070,40507,AT312
3202,31909,AT123
6458,70220,AT334
7374,10827,AT111
9562,21005,AT212
4560,40905,AT314
4611,41804,AT312
5300,50316,AT323
5324,50318,AT323
4121,41304,AT313
4933,40402,AT311
5651,50608,AT322
7341,10812,AT111
8774,61109,AT223
4661,40715,AT315
9462,20923,AT213
3620,31344,AT124
4464,41522,AT314
2572,31405,AT122
2381,31714,AT127
7453,10821,AT111
3470,32114,AT126
8663,62145,AT223
8972,61236,AT222
4984,41235,AT311
8142,60656,AT221
4676,40801,AT311
6555,70609,AT334
4292,40607,AT313
5323,50307,AT323
8413,61055,AT225
4820,40703,AT315
2620,31817,AT122
4183,41615,AT313
3224,31408,AT122
3041,31902,AT123
4880,41706,AT315
5090,50610,AT322
6500,70604,AT334
6392,70415,AT335
4774,41419,AT311
8120,60632,AT221
8144,60618,AT221
5225,40416,AT311
3720,31036,AT125
4493,41521,AT314
9640,20307,AT212
6408,70339,AT332
2770,32308,AT122
3223,31401,AT122
3331,30517,AT121
2443,10321,AT112
5620,50421,AT322
2544,30620,AT127
9872,20620,AT212
4091,41427,AT311
8960,61262,AT222
2813,32317,AT122
4523,41516,AT314
6311,70530,AT335
5084,50315,AT323
5204,50335,AT323
2115,31203,AT126
3121,31916,AT123
3200,31929,AT123
3184,31414,AT122
4055,41019,AT312
4262,40610,AT313
4595,41518,AT314
4912,41218,AT311
2604,32330,AT122
3034,31921,AT123
2222,30805,AT126
2123,31622,AT126
4572,40916,AT314
3350,30514,AT121
8160,61731,AT224
3261,32018,AT121
2481,31701,AT127
9300,20523,AT213
4151,41325,AT313
8653,62132,AT223
5575,50502,AT321
7552,10415,AT113
3292,32001,AT121
3532,31336,AT124
4463,41507,AT314
9962,70726,AT333
6122,70309,AT332
8813,61443,AT226
